Date,Simple Date,Outdoor Temperature (°F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Outdoor Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Absolute Pressure (inHg)
2022-07-14T07:20:00-04:00,2022-07-14 07:20:00,75.2,76.7,72.7,0,0,1.1,90,0,0,0,0.03,0.32,236.22,29.95,92,0,97.5,29.89
2022-07-14T07:15:00-04:00,2022-07-14 07:15:00,75.2,76.7,72.4,0,0,1.1,114,0,0,0,0.03,0.32,236.22,29.95,91,0,68.5,29.89
2022-07-14T07:10:00-04:00,2022-07-14 07:10:00,75.2,76.7,72.4,0,0,1.1,114,0,0,0,0.03,0.32,236.22,29.94,91,0,68.5,29.88
2022-07-14T07:05:00-04:00,2022-07-14 07:05:00,75.2,76.7,72.1,0,0,1.1,114,0,0,0,0.03,0.32,236.22,29.93,90,0,68.9,29.87
2022-07-14T07:00:00-04:00,2022-07-14 07:00:00,74.8,76.2,71.7,0,0,0,113,0,0,0,0.03,0.32,236.22,29.93,90,0,65.5,29.87
2022-07-14T06:55:00-04:00,2022-07-14 06:55:00,,,,,,,,,,,,,,29.94,,,,29.88
2022-07-14T06:50:00-04:00,2022-07-14 06:50:00,,,,,,,,,,,,,,29.94,,,,29.88
2022-07-14T06:45:00-04:00,2022-07-14 06:45:00,,,,,,,,,,,,,,29.94,,,,29.88
2022-07-14T06:40:00-04:00,2022-07-14 06:40:00,,,,,,,,,,,,,,29.94,,,,29.88
2022-07-14T06:35:00-04:00,2022-07-14 06:35:00,,,,,,,,,,,,,,29.94,,,,29.88
2022-07-14T06:30:00-04:00,2022-07-14 06:30:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-14T06:25:00-04:00,2022-07-14 06:25:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-14T06:20:00-04:00,2022-07-14 06:20:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-14T06:15:00-04:00,2022-07-14 06:15:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-14T06:10:00-04:00,2022-07-14 06:10:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-14T06:05:00-04:00,2022-07-14 06:05:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-14T06:00:00-04:00,2022-07-14 06:00:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-14T05:55:00-04:00,2022-07-14 05:55:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T05:50:00-04:00,2022-07-14 05:50:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T05:45:00-04:00,2022-07-14 05:45:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T05:40:00-04:00,2022-07-14 05:40:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T05:35:00-04:00,2022-07-14 05:35:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T05:30:00-04:00,2022-07-14 05:30:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T05:25:00-04:00,2022-07-14 05:25:00,,,,,,,,,,,,,,29.93,,,,29.86
2022-07-14T05:20:00-04:00,2022-07-14 05:20:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T05:15:00-04:00,2022-07-14 05:15:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T05:10:00-04:00,2022-07-14 05:10:00,,,,,,,,,,,,,,29.93,,,,29.86
2022-07-14T05:05:00-04:00,2022-07-14 05:05:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T05:00:00-04:00,2022-07-14 05:00:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T04:55:00-04:00,2022-07-14 04:55:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T04:50:00-04:00,2022-07-14 04:50:00,,,,,,,,,,,,,,29.91,,,,29.85
2022-07-14T04:45:00-04:00,2022-07-14 04:45:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T04:40:00-04:00,2022-07-14 04:40:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T04:35:00-04:00,2022-07-14 04:35:00,,,,,,,,,,,,,,29.91,,,,29.85
2022-07-14T04:30:00-04:00,2022-07-14 04:30:00,,,,,,,,,,,,,,29.91,,,,29.85
2022-07-14T04:25:00-04:00,2022-07-14 04:25:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T04:20:00-04:00,2022-07-14 04:20:00,,,,,,,,,,,,,,29.91,,,,29.85
2022-07-14T04:15:00-04:00,2022-07-14 04:15:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T04:10:00-04:00,2022-07-14 04:10:00,,,,,,,,,,,,,,29.91,,,,29.85
2022-07-14T04:05:00-04:00,2022-07-14 04:05:00,,,,,,,,,,,,,,29.91,,,,29.85
2022-07-14T04:00:00-04:00,2022-07-14 04:00:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T03:55:00-04:00,2022-07-14 03:55:00,,,,,,,,,,,,,,29.91,,,,29.84
2022-07-14T03:50:00-04:00,2022-07-14 03:50:00,,,,,,,,,,,,,,29.9,,,,29.84
2022-07-14T03:45:00-04:00,2022-07-14 03:45:00,,,,,,,,,,,,,,29.91,,,,29.85
2022-07-14T03:40:00-04:00,2022-07-14 03:40:00,,,,,,,,,,,,,,29.91,,,,29.85
2022-07-14T03:35:00-04:00,2022-07-14 03:35:00,,,,,,,,,,,,,,29.91,,,,29.85
2022-07-14T03:30:00-04:00,2022-07-14 03:30:00,,,,,,,,,,,,,,29.91,,,,29.85
2022-07-14T03:25:00-04:00,2022-07-14 03:25:00,,,,,,,,,,,,,,29.9,,,,29.84
2022-07-14T03:20:00-04:00,2022-07-14 03:20:00,,,,,,,,,,,,,,29.91,,,,29.85
2022-07-14T03:15:00-04:00,2022-07-14 03:15:00,,,,,,,,,,,,,,29.91,,,,29.84
2022-07-14T03:10:00-04:00,2022-07-14 03:10:00,,,,,,,,,,,,,,29.91,,,,29.84
2022-07-14T03:05:00-04:00,2022-07-14 03:05:00,,,,,,,,,,,,,,29.91,,,,29.85
2022-07-14T03:00:00-04:00,2022-07-14 03:00:00,,,,,,,,,,,,,,29.91,,,,29.84
2022-07-14T02:55:00-04:00,2022-07-14 02:55:00,,,,,,,,,,,,,,29.91,,,,29.85
2022-07-14T02:50:00-04:00,2022-07-14 02:50:00,,,,,,,,,,,,,,29.91,,,,29.85
2022-07-14T02:45:00-04:00,2022-07-14 02:45:00,,,,,,,,,,,,,,29.91,,,,29.85
2022-07-14T02:40:00-04:00,2022-07-14 02:40:00,,,,,,,,,,,,,,29.91,,,,29.85
2022-07-14T02:35:00-04:00,2022-07-14 02:35:00,,,,,,,,,,,,,,29.91,,,,29.84
2022-07-14T02:30:00-04:00,2022-07-14 02:30:00,,,,,,,,,,,,,,29.91,,,,29.85
